Time (ms),ADC Value
10,1945
20,1776
30,1912
40,1981
50,2598
60,1891
70,1979
80,1836
90,1922
100,1778
110,1255
120,1850
130,1894
140,1852
150,1887
160,1856
170,1743
180,1961
190,1833
200,1874
210,1803
220,1887
230,1758
240,2013
250,1786
260,1814
270,1893
280,1170
290,1855
300,1905
310,2030
320,3107
330,1902
340,1939
350,1832
360,1847
370,1790
380,1844
390,1740
400,2020
410,1776
420,1799
430,1798
440,1725
450,951
460,1760
470,1921
480,1731
490,2015
500,4101
510,2030
520,1832
530,1907
540,182
550,1742
560,1879
570,2102
580,1822
590,1903
600,1940
610,1856
620,1755
620,1947
630,1838
640,1920
650,2025
660,2631
670,1851
680,1993
690,1785
700,1880
710,1805
720,1324
730,1835
740,1849
750,1815
760,1937
770,1804
780,1712
790,1924
800,1787
810,1870
820,1804
830,1817
840,1738
850,1987
860,1825
870,1837
880,1872
890,1111
900,1867
910,1842
920,1988
930,3087
940,1816
950,1934
960,1811
970,1782
980,1808
990,1840
1000,1720
1010,1973
1020,1804
1030,1756
1040,1754
1050,1740
1060,995
1070,1752
1080,1904
1090,1700
1100,2024
1110,4066
1120,2022
1130,1799
1140,1982
1150,233
1160,1791
1170,1873
1180,2080
1190,1811
1200,1951
1210,1960
1220,1895
1230,1822
1230,1965
1240,1757
1250,1954
1260,2038
1270,2605
1280,1828
1290,1994
1300,1823
1310,1932
1320,1786
1330,1263
1340,1829
1350,1877
1360,1813
1370,1887
1380,1876
1390,1739
1400,1895
1410,1775
1420,1803
1430,1833
1440,1823
1450,1773
1460,2005
1470,1822
1480,1854
1490,1906
1500,1164
1510,1831
1520,1822
1530,2054
1540,3136
1550,1831
1560,1970
1570,1737
1580,1838
1590,1832
1600,1851
1610,1740
1620,1946
1630,1804
1640,1822
1650,1828
1660,1688
1670,955
1680,1820
1690,1909
1700,1759
1710,1951
1720,4027
1730,2023
1740,1783
1750,1947
1760,166
1770,1754
1780,1916
1790,2131
1800,1812
1810,1941
1820,1950
1830,1916
1840,1786
1840,1948
1850,1779
1860,1907
1870,2018
1880,2661
1890,1868
1900,1923
1910,1756
1920,1866
1930,1789
1940,1226
1950,1836
1960,1877
1970,1836
1980,1927
1990,1840
2000,1747
2010,1889
2020,1797
2030,1796
2040,1860
2050,1859
2060,1770
2070,1982
2080,1834
2090,1873
2100,1826
2110,1167
2120,1851
2130,1909
2140,2013
2150,3078
2160,1897
2170,1932
2180,1770
2190,1796
2200,1774
2210,1813
2220,1743
2230,2010
2240,1809
2250,1748
2260,1758
2270,1779
2280,1033
2290,1838
2300,1919
2310,1694
2320,1967
2330,4048
2340,2045
2350,1786
2360,1942
2370,167
2380,1797
2390,1892
2400,2074
2410,1834
2420,1971
2430,1967
2440,1873
2450,1844
2450,1968
2460,1772
2470,1903
2480,2016
2490,2607
2500,1816
2510,1997
2520,1793
2530,1899
2540,1819
2550,1289
2560,1832
2570,1838
2580,1831
2590,1910
2600,1798
2610,1765
2620,1926
2630,1801
2640,1810
2650,1816
2660,1861
2670,1762
2680,2027
2690,1844
2700,1822
2710,1880
2720,1093
2730,1783
2740,1904
2750,2037
2760,3100
2770,1808
2780,1958
2790,1822
2800,1819
2810,1822
2820,1863
2830,1739
2840,1967
2850,1829
2860,1774
2870,1829
2880,1707
2890,982
2900,1771
2910,1888
2920,1720
2930,1969
2940,4023
2950,2099
2960,1782
2970,1956
2980,158
2990,1786
3000,1832
3010,2071
3020,1833
3030,1971
3040,1936
3050,1928
3060,1833
3060,1954
3070,1750
3080,1929
3090,1966
3100,2659
3110,1901
3120,1918
3130,1762
3140,1857
3150,1784
3160,1281
3170,1869
3180,1889
3190,1800
3200,1904
3210,1874
3220,1793
3230,1903
3240,1832
3250,1841
3260,1850
3270,1844
3280,1730
3290,1943
3300,1772
3310,1846
3320,1812
3330,1137
3340,1789
3350,1837
3360,1966
3370,3163
3380,1847
3390,1986
3400,1801
3410,1825
3420,1809
3430,1814
3440,1740
3450,2030
3460,1797
3470,1793
3480,1806
3490,1699
3500,1011
3510,1824
3520,1879
3530,1706
3540,2020
3550,4062
3560,2048
3570,1774
3580,1906
3590,150
3600,1733
3610,1908
3620,2051
3630,1865
3640,1918
3650,1938
3660,1923
3670,1759
3670,1963
3680,1798
3690,1960
3700,1995
3710,2630
3720,1840
3730,1909
3740,1802
3750,1857
3760,1853
3770,1292
3780,1895
3790,1833
3800,1830
3810,1850
3820,1871
3830,1784
3840,1958
3850,1847
3860,1841
3870,1870
3880,1891
3890,1782
3900,1990
3910,1774
3920,1841
3930,1836
3940,1129
3950,1821
3960,1851
3970,2020
3980,3150
3990,1816
4000,2019
4010,1792
4020,1859
4030,1871
4040,1780
4050,1693
4060,1947
4070,1765
4080,1791
4090,1829
4100,1772
4110,974
4120,1797
4130,1926
4140,1698
4150,1958
4160,4013
4170,2113
4180,1851
4190,1909
4200,230
4210,1733
4220,1916
4230,2095
4240,1852
4250,1988
